=== Scanner (4 threads) at Tue May 12 12:23:29 PM EEST 2026 ===
[MAIN] Resuming from checkpoint: 346864 (37060346864.lt)
[MAIN] Range: 0 to 9999999 (10,000,000 domains)
[MAIN] Threads: 4
[MAIN] Start: 2026-05-12 12:23:29
[PROGRESS] 255,000/10,000,000 (2.55%) | hits: 3 | errors: 219720 | 44.2 req/s | ETA: 61.2h
[PROGRESS] 260,000/10,000,000 (2.60%) | hits: 3 | errors: 223304 | 44.1 req/s | ETA: 61.4h
[PROGRESS] 265,000/10,000,000 (2.65%) | hits: 3 | errors: 223317 | 41.0 req/s | ETA: 65.9h
[PROGRESS] 270,000/10,000,000 (2.70%) | hits: 3 | errors: 223326 | 35.6 req/s | ETA: 75.9h
[PROGRESS] 275,000/10,000,000 (2.75%) | hits: 3 | errors: 223335 | 31.5 req/s | ETA: 85.9h
[PROGRESS] 280,000/10,000,000 (2.80%) | hits: 3 | errors: 223344 | 29.2 req/s | ETA: 92.6h
[PROGRESS] 285,000/10,000,000 (2.85%) | hits: 3 | errors: 223344 | 27.0 req/s | ETA: 99.8h
[PROGRESS] 290,000/10,000,000 (2.90%) | hits: 3 | errors: 223346 | 25.3 req/s | ETA: 106.6h
[PROGRESS] 295,000/10,000,000 (2.95%) | hits: 3 | errors: 223346 | 23.9 req/s | ETA: 112.8h
[PROGRESS] 300,000/10,000,000 (3.00%) | hits: 3 | errors: 223346 | 22.6 req/s | ETA: 119.0h
[PROGRESS] 305,000/10,000,000 (3.05%) | hits: 3 | errors: 223347 | 21.5 req/s | ETA: 125.5h
[PROGRESS] 310,000/10,000,000 (3.10%) | hits: 3 | errors: 223355 | 20.2 req/s | ETA: 133.0h
[PROGRESS] 315,000/10,000,000 (3.15%) | hits: 3 | errors: 223358 | 19.2 req/s | ETA: 140.0h
[PROGRESS] 320,000/10,000,000 (3.20%) | hits: 3 | errors: 223360 | 18.3 req/s | ETA: 146.6h
[PROGRESS] 325,000/10,000,000 (3.25%) | hits: 3 | errors: 224932 | 18.0 req/s | ETA: 149.5h
[PROGRESS] 330,000/10,000,000 (3.30%) | hits: 3 | errors: 229932 | 18.3 req/s | ETA: 147.2h
[PROGRESS] 335,000/10,000,000 (3.35%) | hits: 3 | errors: 234932 | 18.5 req/s | ETA: 144.9h
[PROGRESS] 340,000/10,000,000 (3.40%) | hits: 3 | errors: 239932 | 18.8 req/s | ETA: 142.7h
[PROGRESS] 345,000/10,000,000 (3.45%) | hits: 3 | errors: 244932 | 19.1 req/s | ETA: 140.6h
[PROGRESS] 350,000/10,000,000 (3.50%) | hits: 3 | errors: 249932 | 19.4 req/s | ETA: 138.5h
[PROGRESS] 355,000/10,000,000 (3.55%) | hits: 3 | errors: 254932 | 19.6 req/s | ETA: 136.5h
